"langs","codes","fams","scripts","word.len","word.size","char.len","char.size","char.h0","char.h1","char.H2","char.h2","char.H3","char.h3","word.mawe10000.h0","word.mawe10000.h1","word.mawe10000.H2","word.mawe10000.h2","word.mawe10000.H3","word.mawe10000.h3","mattr500","mattr1000","mattr2000","word1","word2","word3","word4","word5","word1.prop","word2.prop","word5.prop","word10.prop","word25.prop","word50.prop","word100.prop","beta","beta.error","beta.100","beta.100.error"
"Voynich A Minimal","voy.a.min","Voynich","Voynich",23244,5807,141168,22,4.4594316186373,3.87629508823054,6.03133877255817,2.15504368432763,7.93667295533342,1.90533418277525,11.2610299145779,9.84690990797048,12.6832659011102,2.83635599313968,12.7446900894351,0.0614241883248958,0.695763515870248,0.604953551912568,0.506461280814577,"daiin","ol","chedy","shedy","aiin",0.0219411461022199,0.0139821029082774,0.0724918258475305,0.119815866460162,0.217819652383411,0.311951471347444,0.418989846842196,-0.625294931287611,0.00177181396990442,-0.595362422441217,0.0123080607363004
"Voynich A Minimal Text","voy.a.min.text","Voynich","Voynich",23244,5800,140968,22,4.4594316186373,3.87749600581402,6.03758918900335,2.16009318318934,7.94645562640733,1.90886643740398,11.2550052427086,9.84496972890599,12.6788685276439,2.83389879873792,12.7448194345514,0.0659509069074442,0.693727241018486,0.604132513661202,0.506483386923901,"daiin","ol","chedy","aiin","shedy",0.0228015832042678,0.0145413870246085,0.0749870934434693,0.119987953880571,0.217131302701772,0.312811908449492,0.420753742901394,-0.632293585191222,0.00170873336977225,-0.612608059531563,0.0117089526564612
"Voynich B Maximal","voy.b.com","Voynich","Voynich",11415,3499,69221,22,4.4594316186373,3.87768365516279,6.03133709560093,2.15365344043814,7.92925451099149,1.89791741539056,10.6132813582778,9.49825384581701,11.8322119701571,2.3339581243401,11.8753237347176,0.0431117645605088,0.696080670508119,0.605987951807229,0.507126030624264,"daiin","ol","chedy","aiin","shedy",0.0217257993867718,0.0139290407358738,0.0725361366622865,0.118002628120894,0.21646955759965,0.311344721857205,0.423390275952694,-0.618446459350637,0.00231432310243585,-0.599075028402871,0.0122704310406555
"Voynich B Maximal Text","voy.b.com.text","Voynich","Voynich",11415,3467,69130,22,4.4594316186373,3.8726461661942,6.01980584618443,2.14715967999023,7.90703506496356,1.88722921877913,10.5838435167219,9.41094159350518,11.8245390109229,2.41359741741768,11.8749853179315,0.0504463070086292,0.686360398114196,0.596357429718876,0.499029151943463,"daiin","ol","aiin","chedy","shedy",0.0240035041611914,0.0140166447656592,0.0750766535260622,0.124047306176084,0.223215067893123,0.317214191852825,0.429434954007884,-0.635150616943084,0.00222810469634033,-0.619363922624316,0.0117619000434575
"Voynich B Maximal Simplified","voy.b","Voynich","Voynich",23244,5807,141168,22,4.4594316186373,3.87629508823054,6.03133877255817,2.15504368432763,7.93667295533342,1.90533418277525,11.2610299145779,9.84690990797048,12.6832659011102,2.83635599313968,12.7446900894351,0.0614241883248958,0.695763515870248,0.604953551912568,0.506461280814577,"daiin","ol","chedy","shedy","aiin",0.0219411461022199,0.0139821029082774,0.0724918258475305,0.119815866460162,0.217819652383411,0.311951471347444,0.418989846842196,-0.625294931287611,0.00177181396990442,-0.595362422441217,0.0123080607363004
"Voynich B Maximal Simplified Text","voy.b.text","Voynich","Voynich",23244,5800,140968,22,4.4594316186373,3.87749600581402,6.03758918900335,2.16009318318934,7.94645562640733,1.90886643740398,11.2550052427086,9.84496972890599,12.6788685276439,2.83389879873792,12.7448194345514,0.0659509069074442,0.693727241018486,0.604132513661202,0.506483386923901,"daiin","ol","chedy","aiin","shedy",0.0228015832042678,0.0145413870246085,0.0749870934434693,0.119987953880571,0.217131302701772,0.312811908449492,0.420753742901394,-0.632293585191222,0.00170873336977225,-0.612608059531563,0.0117089526564612
"Voynich B Minimal","voy.b.min","Voynich","Voynich",11415,3499,69221,22,4.4594316186373,3.87768365516279,6.03133709560093,2.15365344043814,7.92925451099149,1.89791741539056,10.6132813582778,9.49825384581701,11.8322119701571,2.3339581243401,11.8753237347176,0.0431117645605088,0.696080670508119,0.605987951807229,0.507126030624264,"daiin","ol","chedy","aiin","shedy",0.0217257993867718,0.0139290407358738,0.0725361366622865,0.118002628120894,0.21646955759965,0.311344721857205,0.423390275952694,-0.618446459350637,0.00231432310243585,-0.599075028402871,0.0122704310406555
"Voynich B Minimal Text","voy.b.min.text","Voynich","Voynich",11415,3467,69130,22,4.4594316186373,3.8726461661942,6.01980584618443,2.14715967999023,7.90703506496356,1.88722921877913,10.5838435167219,9.41094159350518,11.8245390109229,2.41359741741768,11.8749853179315,0.0504463070086292,0.686360398114196,0.596357429718876,0.499029151943463,"daiin","ol","aiin","chedy","shedy",0.0240035041611914,0.0140166447656592,0.0750766535260622,0.124047306176084,0.223215067893123,0.317214191852825,0.429434954007884,-0.635150616943084,0.00222810469634033,-0.619363922624316,0.0117619000434575
"Voynich 1 Maximal","voy.1.com","Voynich","Voynich",23244,5807,141168,22,4.4594316186373,3.87629508823054,6.03133877255817,2.15504368432763,7.93667295533342,1.90533418277525,11.2610299145779,9.84690990797048,12.6832659011102,2.83635599313968,12.7446900894351,0.0614241883248958,0.695763515870248,0.604953551912568,0.506461280814577,"daiin","ol","chedy","shedy","aiin",0.0219411461022199,0.0139821029082774,0.0724918258475305,0.119815866460162,0.217819652383411,0.311951471347444,0.418989846842196,-0.625294931287611,0.00177181396990442,-0.595362422441217,0.0123080607363004
"Voynich 1 Maximal Text","voy.1.com.text","Voynich","Voynich",23244,5800,140968,22,4.4594316186373,3.87749600581402,6.03758918900335,2.16009318318934,7.94645562640733,1.90886643740398,11.2550052427086,9.84496972890599,12.6788685276439,2.83389879873792,12.7448194345514,0.0659509069074442,0.693727241018486,0.604132513661202,0.506483386923901,"daiin","ol","chedy","aiin","shedy",0.0228015832042678,0.0145413870246085,0.0749870934434693,0.119987953880571,0.217131302701772,0.312811908449492,0.420753742901394,-0.632293585191222,0.00170873336977225,-0.612608059531563,0.0117089526564612
"Voynich 1 Maximal Simplified","voy.1","Voynich","Voynich",11415,3499,69221,22,4.4594316186373,3.87768365516279,6.03133709560093,2.15365344043814,7.92925451099149,1.89791741539056,10.6132813582778,9.49825384581701,11.8322119701571,2.3339581243401,11.8753237347176,0.0431117645605088,0.696080670508119,0.605987951807229,0.507126030624264,"daiin","ol","chedy","aiin","shedy",0.0217257993867718,0.0139290407358738,0.0725361366622865,0.118002628120894,0.21646955759965,0.311344721857205,0.423390275952694,-0.618446459350637,0.00231432310243585,-0.599075028402871,0.0122704310406555
"Voynich 1 Maximal Simplified Text","voy.1.text","Voynich","Voynich",11415,3467,69130,22,4.4594316186373,3.8726461661942,6.01980584618443,2.14715967999023,7.90703506496356,1.88722921877913,10.5838435167219,9.41094159350518,11.8245390109229,2.41359741741768,11.8749853179315,0.0504463070086292,0.686360398114196,0.596357429718876,0.499029151943463,"daiin","ol","aiin","chedy","shedy",0.0240035041611914,0.0140166447656592,0.0750766535260622,0.124047306176084,0.223215067893123,0.317214191852825,0.429434954007884,-0.635150616943084,0.00222810469634033,-0.619363922624316,0.0117619000434575
"Voynich 1 Minimal","voy.1.min","Voynich","Voynich",23244,5807,141168,22,4.4594316186373,3.87629508823054,6.03133877255817,2.15504368432763,7.93667295533342,1.90533418277525,11.2610299145779,9.84690990797048,12.6832659011102,2.83635599313968,12.7446900894351,0.0614241883248958,0.695763515870248,0.604953551912568,0.506461280814577,"daiin","ol","chedy","shedy","aiin",0.0219411461022199,0.0139821029082774,0.0724918258475305,0.119815866460162,0.217819652383411,0.311951471347444,0.418989846842196,-0.625294931287611,0.00177181396990442,-0.595362422441217,0.0123080607363004
"Voynich 1 Minimal Text","voy.1.min.text","Voynich","Voynich",23244,5800,140968,22,4.4594316186373,3.87749600581402,6.03758918900335,2.16009318318934,7.94645562640733,1.90886643740398,11.2550052427086,9.84496972890599,12.6788685276439,2.83389879873792,12.7448194345514,0.0659509069074442,0.693727241018486,0.604132513661202,0.506483386923901,"daiin","ol","chedy","aiin","shedy",0.0228015832042678,0.0145413870246085,0.0749870934434693,0.119987953880571,0.217131302701772,0.312811908449492,0.420753742901394,-0.632293585191222,0.00170873336977225,-0.612608059531563,0.0117089526564612
"Voynich 2 Maximal","voy.2.com","Voynich","Voynich",11415,3499,69221,22,4.4594316186373,3.87768365516279,6.03133709560093,2.15365344043814,7.92925451099149,1.89791741539056,10.6132813582778,9.49825384581701,11.8322119701571,2.3339581243401,11.8753237347176,0.0431117645605088,0.696080670508119,0.605987951807229,0.507126030624264,"daiin","ol","chedy","aiin","shedy",0.0217257993867718,0.0139290407358738,0.0725361366622865,0.118002628120894,0.21646955759965,0.311344721857205,0.423390275952694,-0.618446459350637,0.00231432310243585,-0.599075028402871,0.0122704310406555
"Voynich 2 Maximal Text","voy.2.com.text","Voynich","Voynich",11415,3467,69130,22,4.4594316186373,3.8726461661942,6.01980584618443,2.14715967999023,7.90703506496356,1.88722921877913,10.5838435167219,9.41094159350518,11.8245390109229,2.41359741741768,11.8749853179315,0.0504463070086292,0.686360398114196,0.596357429718876,0.499029151943463,"daiin","ol","aiin","chedy","shedy",0.0240035041611914,0.0140166447656592,0.0750766535260622,0.124047306176084,0.223215067893123,0.317214191852825,0.429434954007884,-0.635150616943084,0.00222810469634033,-0.619363922624316,0.0117619000434575
"Voynich 2 Maximal Simplified","voy.2","Voynich","Voynich",23244,5807,141168,22,4.4594316186373,3.87629508823054,6.03133877255817,2.15504368432763,7.93667295533342,1.90533418277525,11.2610299145779,9.84690990797048,12.6832659011102,2.83635599313968,12.7446900894351,0.0614241883248958,0.695763515870248,0.604953551912568,0.506461280814577,"daiin","ol","chedy","shedy","aiin",0.0219411461022199,0.0139821029082774,0.0724918258475305,0.119815866460162,0.217819652383411,0.311951471347444,0.418989846842196,-0.625294931287611,0.00177181396990442,-0.595362422441217,0.0123080607363004
"Voynich 2 Maximal Simplified Text","voy.2.text","Voynich","Voynich",23244,5800,140968,22,4.4594316186373,3.87749600581402,6.03758918900335,2.16009318318934,7.94645562640733,1.90886643740398,11.2550052427086,9.84496972890599,12.6788685276439,2.83389879873792,12.7448194345514,0.0659509069074442,0.693727241018486,0.604132513661202,0.506483386923901,"daiin","ol","chedy","aiin","shedy",0.0228015832042678,0.0145413870246085,0.0749870934434693,0.119987953880571,0.217131302701772,0.312811908449492,0.420753742901394,-0.632293585191222,0.00170873336977225,-0.612608059531563,0.0117089526564612
"Voynich 2 Minimal","voy.2.min","Voynich","Voynich",11415,3499,69221,22,4.4594316186373,3.87768365516279,6.03133709560093,2.15365344043814,7.92925451099149,1.89791741539056,10.6132813582778,9.49825384581701,11.8322119701571,2.3339581243401,11.8753237347176,0.0431117645605088,0.696080670508119,0.605987951807229,0.507126030624264,"daiin","ol","chedy","aiin","shedy",0.0217257993867718,0.0139290407358738,0.0725361366622865,0.118002628120894,0.21646955759965,0.311344721857205,0.423390275952694,-0.618446459350637,0.00231432310243585,-0.599075028402871,0.0122704310406555
"Voynich 2 Minimal Text","voy.2.min.text","Voynich","Voynich",11415,3467,69130,22,4.4594316186373,3.8726461661942,6.01980584618443,2.14715967999023,7.90703506496356,1.88722921877913,10.5838435167219,9.41094159350518,11.8245390109229,2.41359741741768,11.8749853179315,0.0504463070086292,0.686360398114196,0.596357429718876,0.499029151943463,"daiin","ol","aiin","chedy","shedy",0.0240035041611914,0.0140166447656592,0.0750766535260622,0.124047306176084,0.223215067893123,0.317214191852825,0.429434954007884,-0.635150616943084,0.00222810469634033,-0.619363922624316,0.0117619000434575
"Voynich 3 Maximal","voy.3.com","Voynich","Voynich",23244,5807,141168,22,4.4594316186373,3.87629508823054,6.03133877255817,2.15504368432763,7.93667295533342,1.90533418277525,11.2610299145779,9.84690990797048,12.6832659011102,2.83635599313968,12.7446900894351,0.0614241883248958,0.695763515870248,0.604953551912568,0.506461280814577,"daiin","ol","chedy","shedy","aiin",0.0219411461022199,0.0139821029082774,0.0724918258475305,0.119815866460162,0.217819652383411,0.311951471347444,0.418989846842196,-0.625294931287611,0.00177181396990442,-0.595362422441217,0.0123080607363004
"Voynich 3 Maximal Text","voy.3.com.text","Voynich","Voynich",23244,5800,140968,22,4.4594316186373,3.87749600581402,6.03758918900335,2.16009318318934,7.94645562640733,1.90886643740398,11.2550052427086,9.84496972890599,12.6788685276439,2.83389879873792,12.7448194345514,0.0659509069074442,0.693727241018486,0.604132513661202,0.506483386923901,"daiin","ol","chedy","aiin","shedy",0.0228015832042678,0.0145413870246085,0.0749870934434693,0.119987953880571,0.217131302701772,0.312811908449492,0.420753742901394,-0.632293585191222,0.00170873336977225,-0.612608059531563,0.0117089526564612
"Voynich 3 Maximal Simplified","voy.3","Voynich","Voynich",11415,3499,69221,22,4.4594316186373,3.87768365516279,6.03133709560093,2.15365344043814,7.92925451099149,1.89791741539056,10.6132813582778,9.49825384581701,11.8322119701571,2.3339581243401,11.8753237347176,0.0431117645605088,0.696080670508119,0.605987951807229,0.507126030624264,"daiin","ol","chedy","aiin","shedy",0.0217257993867718,0.0139290407358738,0.0725361366622865,0.118002628120894,0.21646955759965,0.311344721857205,0.423390275952694,-0.618446459350637,0.00231432310243585,-0.599075028402871,0.0122704310406555
"Voynich 3 Maximal Simplified Text","voy.3.text","Voynich","Voynich",11415,3467,69130,22,4.4594316186373,3.8726461661942,6.01980584618443,2.14715967999023,7.90703506496356,1.88722921877913,10.5838435167219,9.41094159350518,11.8245390109229,2.41359741741768,11.8749853179315,0.0504463070086292,0.686360398114196,0.596357429718876,0.499029151943463,"daiin","ol","aiin","chedy","shedy",0.0240035041611914,0.0140166447656592,0.0750766535260622,0.124047306176084,0.223215067893123,0.317214191852825,0.429434954007884,-0.635150616943084,0.00222810469634033,-0.619363922624316,0.0117619000434575
"Voynich 3 Minimal","voy.3.min","Voynich","Voynich",23244,5807,141168,22,4.4594316186373,3.87629508823054,6.03133877255817,2.15504368432763,7.93667295533342,1.90533418277525,11.2610299145779,9.84690990797048,12.6832659011102,2.83635599313968,12.7446900894351,0.0614241883248958,0.695763515870248,0.604953551912568,0.506461280814577,"daiin","ol","chedy","shedy","aiin",0.0219411461022199,0.0139821029082774,0.0724918258475305,0.119815866460162,0.217819652383411,0.311951471347444,0.418989846842196,-0.625294931287611,0.00177181396990442,-0.595362422441217,0.0123080607363004
"Voynich 3 Minimal Text","voy.3.min.text","Voynich","Voynich",23244,5800,140968,22,4.4594316186373,3.87749600581402,6.03758918900335,2.16009318318934,7.94645562640733,1.90886643740398,11.2550052427086,9.84496972890599,12.6788685276439,2.83389879873792,12.7448194345514,0.0659509069074442,0.693727241018486,0.604132513661202,0.506483386923901,"daiin","ol","chedy","aiin","shedy",0.0228015832042678,0.0145413870246085,0.0749870934434693,0.119987953880571,0.217131302701772,0.312811908449492,0.420753742901394,-0.632293585191222,0.00170873336977225,-0.612608059531563,0.0117089526564612
"Voynich 4 Maximal","voy.4.com","Voynich","Voynich",11415,3499,69221,22,4.4594316186373,3.87768365516279,6.03133709560093,2.15365344043814,7.92925451099149,1.89791741539056,10.6132813582778,9.49825384581701,11.8322119701571,2.3339581243401,11.8753237347176,0.0431117645605088,0.696080670508119,0.605987951807229,0.507126030624264,"daiin","ol","chedy","aiin","shedy",0.0217257993867718,0.0139290407358738,0.0725361366622865,0.118002628120894,0.21646955759965,0.311344721857205,0.423390275952694,-0.618446459350637,0.00231432310243585,-0.599075028402871,0.0122704310406555
"Voynich 4 Maximal Text","voy.4.com.text","Voynich","Voynich",11415,3467,69130,22,4.4594316186373,3.8726461661942,6.01980584618443,2.14715967999023,7.90703506496356,1.88722921877913,10.5838435167219,9.41094159350518,11.8245390109229,2.41359741741768,11.8749853179315,0.0504463070086292,0.686360398114196,0.596357429718876,0.499029151943463,"daiin","ol","aiin","chedy","shedy",0.0240035041611914,0.0140166447656592,0.0750766535260622,0.124047306176084,0.223215067893123,0.317214191852825,0.429434954007884,-0.635150616943084,0.00222810469634033,-0.619363922624316,0.0117619000434575
"Voynich 4 Maximal Simplified","voy.4","Voynich","Voynich",23244,5807,141168,22,4.4594316186373,3.87629508823054,6.03133877255817,2.15504368432763,7.93667295533342,1.90533418277525,11.2610299145779,9.84690990797048,12.6832659011102,2.83635599313968,12.7446900894351,0.0614241883248958,0.695763515870248,0.604953551912568,0.506461280814577,"daiin","ol","chedy","shedy","aiin",0.0219411461022199,0.0139821029082774,0.0724918258475305,0.119815866460162,0.217819652383411,0.311951471347444,0.418989846842196,-0.625294931287611,0.00177181396990442,-0.595362422441217,0.0123080607363004
"Voynich 4 Maximal Simplified Text","voy.4.text","Voynich","Voynich",23244,5800,140968,22,4.4594316186373,3.87749600581402,6.03758918900335,2.16009318318934,7.94645562640733,1.90886643740398,11.2550052427086,9.84496972890599,12.6788685276439,2.83389879873792,12.7448194345514,0.0659509069074442,0.693727241018486,0.604132513661202,0.506483386923901,"daiin","ol","chedy","aiin","shedy",0.0228015832042678,0.0145413870246085,0.0749870934434693,0.119987953880571,0.217131302701772,0.312811908449492,0.420753742901394,-0.632293585191222,0.00170873336977225,-0.612608059531563,0.0117089526564612
"Voynich 4 Minimal","voy.4.min","Voynich","Voynich",11415,3499,69221,22,4.4594316186373,3.87768365516279,6.03133709560093,2.15365344043814,7.92925451099149,1.89791741539056,10.6132813582778,9.49825384581701,11.8322119701571,2.3339581243401,11.8753237347176,0.0431117645605088,0.696080670508119,0.605987951807229,0.507126030624264,"daiin","ol","chedy","aiin","shedy",0.0217257993867718,0.0139290407358738,0.0725361366622865,0.118002628120894,0.21646955759965,0.311344721857205,0.423390275952694,-0.618446459350637,0.00231432310243585,-0.599075028402871,0.0122704310406555
"Voynich 4 Minimal Text","voy.4.min.text","Voynich","Voynich",11415,3467,69130,22,4.4594316186373,3.8726461661942,6.01980584618443,2.14715967999023,7.90703506496356,1.88722921877913,10.5838435167219,9.41094159350518,11.8245390109229,2.41359741741768,11.8749853179315,0.0504463070086292,0.686360398114196,0.596357429718876,0.499029151943463,"daiin","ol","aiin","chedy","shedy",0.0240035041611914,0.0140166447656592,0.0750766535260622,0.124047306176084,0.223215067893123,0.317214191852825,0.429434954007884,-0.635150616943084,0.00222810469634033,-0.619363922624316,0.0117619000434575
"Voynich 5 Maximal","voy.5.com","Voynich","Voynich",23244,5807,141168,22,4.4594316186373,3.87629508823054,6.03133877255817,2.15504368432763,7.93667295533342,1.90533418277525,11.2610299145779,9.84690990797048,12.6832659011102,2.83635599313968,12.7446900894351,0.0614241883248958,0.695763515870248,0.604953551912568,0.506461280814577,"daiin","ol","chedy","shedy","aiin",0.0219411461022199,0.0139821029082774,0.0724918258475305,0.119815866460162,0.217819652383411,0.311951471347444,0.418989846842196,-0.625294931287611,0.00177181396990442,-0.595362422441217,0.0123080607363004
"Voynich 5 Maximal Text","voy.5.com.text","Voynich","Voynich",23244,5800,140968,22,4.4594316186373,3.87749600581402,6.03758918900335,2.16009318318934,7.94645562640733,1.90886643740398,11.2550052427086,9.84496972890599,12.6788685276439,2.83389879873792,12.7448194345514,0.0659509069074442,0.693727241018486,0.604132513661202,0.506483386923901,"daiin","ol","chedy","aiin","shedy",0.0228015832042678,0.0145413870246085,0.0749870934434693,0.119987953880571,0.217131302701772,0.312811908449492,0.420753742901394,-0.632293585191222,0.00170873336977225,-0.612608059531563,0.0117089526564612
"Voynich 5 Maximal Simplified","voy.5","Voynich","Voynich",11415,3499,69221,22,4.4594316186373,3.87768365516279,6.03133709560093,2.15365344043814,7.92925451099149,1.89791741539056,10.6132813582778,9.49825384581701,11.8322119701571,2.3339581243401,11.8753237347176,0.0431117645605088,0.696080670508119,0.605987951807229,0.507126030624264,"daiin","ol","chedy","aiin","shedy",0.0217257993867718,0.0139290407358738,0.0725361366622865,0.118002628120894,0.21646955759965,0.311344721857205,0.423390275952694,-0.618446459350637,0.00231432310243585,-0.599075028402871,0.0122704310406555
"Voynich 5 Maximal Simplified Text","voy.5.text","Voynich","Voynich",11415,3467,69130,22,4.4594316186373,3.8726461661942,6.01980584618443,2.14715967999023,7.90703506496356,1.88722921877913,10.5838435167219,9.41094159350518,11.8245390109229,2.41359741741768,11.8749853179315,0.0504463070086292,0.686360398114196,0.596357429718876,0.499029151943463,"daiin","ol","aiin","chedy","shedy",0.0240035041611914,0.0140166447656592,0.0750766535260622,0.124047306176084,0.223215067893123,0.317214191852825,0.429434954007884,-0.635150616943084,0.00222810469634033,-0.619363922624316,0.0117619000434575
"Voynich 5 Minimal","voy.5.min","Voynich","Voynich",23244,5807,141168,22,4.4594316186373,3.87629508823054,6.03133877255817,2.15504368432763,7.93667295533342,1.90533418277525,11.2610299145779,9.84690990797048,12.6832659011102,2.83635599313968,12.7446900894351,0.0614241883248958,0.695763515870248,0.604953551912568,0.506461280814577,"daiin","ol","chedy","shedy","aiin",0.0219411461022199,0.0139821029082774,0.0724918258475305,0.119815866460162,0.217819652383411,0.311951471347444,0.418989846842196,-0.625294931287611,0.00177181396990442,-0.595362422441217,0.0123080607363004
"Voynich 5 Minimal Text","voy.5.min.text","Voynich","Voynich",23244,5800,140968,22,4.4594316186373,3.87749600581402,6.03758918900335,2.16009318318934,7.94645562640733,1.90886643740398,11.2550052427086,9.84496972890599,12.6788685276439,2.83389879873792,12.7448194345514,0.0659509069074442,0.693727241018486,0.604132513661202,0.506483386923901,"daiin","ol","chedy","aiin","shedy",0.0228015832042678,0.0145413870246085,0.0749870934434693,0.119987953880571,0.217131302701772,0.312811908449492,0.420753742901394,-0.632293585191222,0.00170873336977225,-0.612608059531563,0.0117089526564612
